Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,319.179993,323.779999,317.25,320.079987,320.079987,4254400
2017-10-31,320.230011,331.950012,320.179993,331.529999,331.529999,5672300
2017-11-01,332.25,332.609985,320.26001,321.079987,321.079987,8457300
2017-11-02,300.130005,308.690002,292.630005,299.26001,299.26001,19791400
2017-11-03,299.5,306.25,295.130005,306.089996,306.089996,8894000
2017-11-06,307.0,307.5,299.01001,302.779999,302.779999,6486000
2017-11-07,301.019989,306.5,300.029999,306.049988,306.049988,5294300
2017-11-08,305.5,306.890015,301.299988,304.390015,304.390015,4725300
2017-11-09,302.5,304.459991,296.299988,302.98999,302.98999,5447100
2017-11-10,302.5,308.359985,301.850006,302.98999,302.98999,4625400
2017-11-13,300.130005,316.799988,299.109985,315.399994,315.399994,7584900
2017-11-14,315.0,316.350006,306.899994,308.700012,308.700012,5676100
2017-11-15,306.01001,312.48999,301.5,311.299988,311.299988,5978700
2017-11-16,313.98999,318.140015,311.299988,312.5,312.5,5822100
2017-11-17,325.670013,326.670013,313.149994,315.049988,315.049988,13735100
2017-11-20,313.790009,315.5,304.75,308.73999,308.73999,8247700
2017-11-21,310.859985,318.230011,308.709991,317.809998,317.809998,7261300
2017-11-22,316.769989,317.420013,311.839996,312.600006,312.600006,4917600
2017-11-24,313.790009,316.410004,311.0,315.549988,315.549988,3244100
2017-11-27,313.25,317.339996,309.51001,316.809998,316.809998,4528700
